townland_name,has_parish,has_barony,has_county,detected_at
COOLAFLAKE,False,False,False,2026-06-09
CRAFFIELD,False,False,False,2026-06-09
CRONAWINNIA,False,False,False,2026-06-09
CRONE BEG,False,False,False,2026-06-09
CRONE MORE,False,False,False,2026-06-09
CRONESALLAGH,False,False,False,2026-06-09
MACREDDIN EAST,False,False,False,2026-06-09
MACREDDIN WEST,False,False,False,2026-06-09
MONGNACOOL LOWER,False,False,False,2026-06-09
MONGNACOOL UPPER,False,False,False,2026-06-09
SHEEANABEG ROBECK,False,False,False,2026-06-09
SHEEANABEG WHALEY,False,False,False,2026-06-09
SHEEANA MORE,False,False,False,2026-06-09
THREEWELLS,False,False,False,2026-06-09
TINNAKILLY LOWER,False,False,False,2026-06-09
TINNAKILLY UPPER,False,False,False,2026-06-09
AUGHRIM TOWN,False,False,False,2026-06-09
BELLINECLESH VILLAGE,False,False,False,2026-06-09
BALLYMAGHROE,False,False,False,2026-06-09
CARRIGNAMUCK,False,False,False,2026-06-09
CARRIGNAMWEEL,False,False,False,2026-06-09
KILCARNEY LOWER,False,False,False,2026-06-09
KILCARNEY UPPER,False,False,False,2026-06-09
KNOCKANANNA,False,False,False,2026-06-09
KNOCKANOOKER LOWER,False,False,False,2026-06-09
KNOCKANOOKER UPPER,False,False,False,2026-06-09
KNOCKNAGILKY LOWER,False,False,False,2026-06-09
KNOCKNAGILKY UPPER,False,False,False,2026-06-09
KNOCKNASHAMROGE,False,False,False,2026-06-09
KNOCKNASKEAGH,False,False,False,2026-06-09
RATHDUFFMORE,False,False,False,2026-06-09
BALLINACOR ED TINAHELY,False,False,False,2026-06-09
TINAHELY T,False,False,False,2026-06-09
BALLYMANUS,False,False,False,2026-06-09
CLONE,False,False,False,2026-06-09
KILLACLORAN,False,False,False,2026-06-09
KILLADUFF,False,False,False,2026-06-09
MUCKLAGH ED KILPIPE,False,False,False,2026-06-09
TOMANIERIN LOWER,False,False,False,2026-06-09
TOMANIERIN UPPER,False,False,False,2026-06-09
BALHAGUILE T,False,False,False,2026-06-09
CAMENABOLOGUE,False,False,False,2026-06-09
CARRAWAYSTICK,False,False,False,2026-06-09
DRUMGOFF,False,False,False,2026-06-09
ASKANAGAP,False,False,False,2026-06-09
BALLYCURRAGH,False,False,False,2026-06-09
BALLYGOBBAN,False,False,False,2026-06-09
BARNAMEELIA,False,False,False,2026-06-09
BLACKROCK,False,False,False,2026-06-09
COOLBALLINTAGGART,False,False,False,2026-06-09
FARBREAGA,False,False,False,2026-06-09
SHEILSTOWN,False,False,False,2026-06-09
BELLINGLEN,False,False,False,2026-06-09
BALLINAHINCH ED KILLISKEY,False,False,False,2026-06-09
BALLINASHINNAGH,False,False,False,2026-06-09
BALLINASOOSTIA,False,False,False,2026-06-09
CARRIGGOWER,False,False,False,2026-06-09
DOWNSHILL,False,False,False,2026-06-09
DRUMBAWN,False,False,False,2026-06-09
KNOCKATEMPLE,False,False,False,2026-06-09
KNOCKRAHEEN,False,False,False,2026-06-09
TITHEWER,False,False,False,2026-06-09
ANNAGOLAN,False,False,False,2026-06-09
BALLARDBEG,False,False,False,2026-06-09
CRONYBYRNE,False,False,False,2026-06-09
CRONYBYRNE DEMESNE,False,False,False,2026-06-09
GLENWOOD,False,False,False,2026-06-09
KILMULLIN ED MONEYSTOWN,False,False,False,2026-06-09
KNOCKAPHRUMPA,False,False,False,2026-06-09
MONEYSTOWN HILL,False,False,False,2026-06-09
MONEYSTOWN NORTH,False,False,False,2026-06-09
MONEYSTOWN SOUTH,False,False,False,2026-06-09
MOYNTIAGH,False,False,False,2026-06-09
PARKROE,False,False,False,2026-06-09
SLEANAGLOGH,False,False,False,2026-06-09
BALLINACOOLEY,False,False,False,2026-06-09
BALLYFREE EAST,False,False,False,2026-06-09
BALLYFREE WEST,False,False,False,2026-06-09
BALLYKILLAVANE,False,False,False,2026-06-09
BALLYKNOCKAN BEG,False,False,False,2026-06-09
BALLYKNOCKAN MORE,False,False,False,2026-06-09
BALLYMACSIMON,False,False,False,2026-06-09
BALLYMANUS LOWER,False,False,False,2026-06-09
BALLYMANUS UPPER,False,False,False,2026-06-09
BALLYMERRIGAN,False,False,False,2026-06-09
BALLYMOAT,False,False,False,2026-06-09
BALLYNABARNY,False,False,False,2026-06-09
COOLNAKILLY,False,False,False,2026-06-09
GLENEALY T,False,False,False,2026-06-09
BAHANA,False,False,False,2026-06-09
BARNBAWN,False,False,False,2026-06-09
DRUMDANGAN,False,False,False,2026-06-09
GARRYDUFF,False,False,False,2026-06-09
GLASNARGET NORTH,False,False,False,2026-06-09
STUMP OF THE CASTLE,False,False,False,2026-06-09
ALTIDORE DEMESNE,False,False,False,2026-06-09
BALLYDONAREA,False,False,False,2026-06-09
BALLYHORSEY,False,False,False,2026-06-09
BALLYNERRIN ED KILCOOLE,False,False,False,2026-06-09
BALLYRONAN,False,False,False,2026-06-09
BELLEVUE DEMESNE,False,False,False,2026-06-09
BROMLEY,False,False,False,2026-06-09
BULLFORD,False,False,False,2026-06-09
CHARLESLAND,False,False,False,2026-06-09
DOWNS,False,False,False,2026-06-09
DRUMMIN EAST,False,False,False,2026-06-09
DRUMMIN WEST,False,False,False,2026-06-09
FARRANKELLY,False,False,False,2026-06-09
HOLYWELL,False,False,False,2026-06-09
JOHNSTOWN,False,False,False,2026-06-09
KILCOOLE,False,False,False,2026-06-09
KILLICKABAWN,False,False,False,2026-06-09
KILLINPARK,False,False,False,2026-06-09
KILPEDDER EAST,False,False,False,2026-06-09
KILPEDDER WEST,False,False,False,2026-06-09
KILQUADE,False,False,False,2026-06-09
KNOCKROE,False,False,False,2026-06-09
MOUNT KENNEDY DEMESNE,False,False,False,2026-06-09
PRIESTSNEWTOWN,False,False,False,2026-06-09
SEAVIEW,False,False,False,2026-06-09
STILEBAWN,False,False,False,2026-06-09
TINNAPARK DEMESNE,False,False,False,2026-06-09
TOOMAN,False,False,False,2026-06-09
WOODLANDS,False,False,False,2026-06-09
DOWNS T,False,False,False,2026-06-09
KILCOOLE T,False,False,False,2026-06-09
KILPEDDER T,False,False,False,2026-06-09
BALLINAHINCH ED NEWCASTLE UPPER,False,False,False,2026-06-09
BALLYBLA,False,False,False,2026-06-09
BALLYCURRY DEMESNE,False,False,False,2026-06-09
BALLYDOREEN,False,False,False,2026-06-09
BALLYDUFF LOWER,False,False,False,2026-06-09
BALLYDUFF UPPER,False,False,False,2026-06-09
BALLYHENRY,False,False,False,2026-06-09
BALLYVOLAN LOWER,False,False,False,2026-06-09
BALLYVOLAN UPPER,False,False,False,2026-06-09
BARNACOYLE BIG,False,False,False,2026-06-09
BARNACOYLE LITTLE,False,False,False,2026-06-09
BIRCHWOOD,False,False,False,2026-06-09
BOLEYNASS LOWER,False,False,False,2026-06-09
BOLEYNASS UPPER,False,False,False,2026-06-09
BROOMFIELD,False,False,False,2026-06-09
CARRIGNAMUCK LOWER,False,False,False,2026-06-09
CARRIGNAMUCK UPPER,False,False,False,2026-06-09
